"Trial","Condition","Talker","Target","AuditoryProbe1","AuditoryProbe2","AuditoryProbe3","AuditoryProbe4","AuditoryProbe5","AuditoryProbe6","AuditoryProbe7","AuditoryProbe8","AuditoryProbe9","AuditoryProbe10","AuditoryProbe11","AuditoryProbe12","AuditoryProbe13","AuditoryProbe14","AuditoryProbe15","AuditoryProbe16"
1,"Mixed","Both","ball","m150jolt.wav","m160ball.wav","m160tile.wav","m160jolt.wav","m160ball.wav","m150greet.wav","m150ball.wav","m160tile.wav","m150ball.wav","m160park.wav","m160jolt.wav","m150reek.wav","m150priest.wav","m160priest.wav","m150gnash.wav","m150cling.wav"
2,"Mixed","Both","ball","m160jaw.wav","m160cave.wav","m160ball.wav","m150knife.wav","m150cad.wav","m160ball.wav","m150jolt.wav","m160lash.wav","m160greet.wav","m150greet.wav","m160dime.wav","m160dime.wav","m150ball.wav","m150knife.wav","m150ball.wav","m150greet.wav"
3,"Mixed","Both","ball","m150romp.wav","m150cave.wav","m160ball.wav","m150jaw.wav","m150ball.wav","m160reek.wav","m160reek.wav","m150gnash.wav","m150priest.wav","m160ball.wav","m160gnash.wav","m160greet.wav","m150ball.wav","m150knife.wav","m160cad.wav","m160gnash.wav"
4,"Mixed","Both","ball","m160cave.wav","m150ball.wav","m150cave.wav","m160ball.wav","m160knife.wav","m160cave.wav","m160knife.wav","m150bluff.wav","m150cling.wav","m150priest.wav","m150ball.wav","m150gnash.wav","m160tile.wav","m150cling.wav","m160ball.wav","m160tile.wav"
5,"Mixed","Both","ball","m160park.wav","m150bluff.wav","m160ball.wav","m160done.wav","m150dime.wav","m150ball.wav","m150done.wav","m150jaw.wav","m150ball.wav","m160tile.wav","m150depth.wav","m160park.wav","m160greet.wav","m150gnash.wav","m160ball.wav","m160priest.wav"
6,"Mixed","Both","ball","m160priest.wav","m150park.wav","m160priest.wav","m160gnash.wav","m150bluff.wav","m150gnash.wav","m160ball.wav","m150depth.wav","m150ball.wav","m150park.wav","m150gnash.wav","m160ball.wav","m160tile.wav","m150ball.wav","m160bluff.wav","m160done.wav"
7,"Mixed","Both","ball","m160tile.wav","m150cave.wav","m150priest.wav","m160ball.wav","m150priest.wav","m160knife.wav","m160park.wav","m160ball.wav","m150romp.wav","m160romp.wav","m150cave.wav","m160bluff.wav","m150ball.wav","m150park.wav","m150ball.wav","m160knife.wav"
8,"Mixed","Both","ball","m150done.wav","m160cave.wav","m160ball.wav","m160tile.wav","m160ball.wav","m160cave.wav","m150gnash.wav","m160bluff.wav","m160reek.wav","m150done.wav","m150ball.wav","m160cling.wav","m150reek.wav","m150ball.wav","m150cling.wav","m150jaw.wav"
9,"Mixed","Both","ball","m150cave.wav","m160lash.wav","m150ball.wav","m160bluff.wav","m160greet.wav","m150ball.wav","m160park.wav","m160reek.wav","m160ball.wav","m150tile.wav","m160reek.wav","m150greet.wav","m160ball.wav","m150romp.wav","m150done.wav","m150cave.wav"
10,"Mixed","Both","ball","m150cave.wav","m150jaw.wav","m160bluff.wav","m160reek.wav","m160ball.wav","m150jaw.wav","m160cave.wav","m150jolt.wav","m150ball.wav","m160lash.wav","m150gnash.wav","m160ball.wav","m160jaw.wav","m150gnash.wav","m150ball.wav","m160cling.wav"
11,"Mixed","Both","ball","m150lash.wav","m150dime.wav","m150ball.wav","m150cad.wav","m160priest.wav","m150ball.wav","m160knife.wav","m150greet.wav","m160ball.wav","m160lash.wav","m160ball.wav","m160reek.wav","m150jolt.wav","m150dime.wav","m160cave.wav","m160priest.wav"
12,"Mixed","Both","ball","m150knife.wav","m160greet.wav","m160ball.wav","m160jolt.wav","m150priest.wav","m150cad.wav","m150ball.wav","m150romp.wav","m150ball.wav","m160lash.wav","m150jolt.wav","m150knife.wav","m160reek.wav","m160ball.wav","m160cave.wav","m160jolt.wav"
13,"Mixed","Both","cave","m160lash.wav","m160romp.wav","m160jaw.wav","m160tile.wav","m150bluff.wav","m150cave.wav","m150depth.wav","m150cave.wav","m150reek.wav","m150greet.wav","m150knife.wav","m150bluff.wav","m160cave.wav","m160greet.wav","m160cave.wav","m160romp.wav"
14,"Mixed","Both","cave","m150tile.wav","m160cave.wav","m150priest.wav","m150jolt.wav","m150cave.wav","m150ball.wav","m160done.wav","m160dime.wav","m160done.wav","m160cave.wav","m150priest.wav","m150jolt.wav","m160tile.wav","m160jaw.wav","m150cave.wav","m160romp.wav"
15,"Mixed","Both","cave","m150bluff.wav","m160cave.wav","m150reek.wav","m160done.wav","m150cave.wav","m160priest.wav","m160ball.wav","m160cave.wav","m150ball.wav","m150cave.wav","m160dime.wav","m150ball.wav","m160priest.wav","m150jaw.wav","m160bluff.wav","m150ball.wav"
16,"Mixed","Both","cave","m150park.wav","m150cave.wav","m160jolt.wav","m160cad.wav","m150cave.wav","m160greet.wav","m160cad.wav","m160cave.wav","m150cling.wav","m150priest.wav","m160done.wav","m160cave.wav","m160gnash.wav","m150cling.wav","m150depth.wav","m150cling.wav"
17,"Mixed","Both","cave","m150depth.wav","m150cave.wav","m150bluff.wav","m160jolt.wav","m160ball.wav","m150cave.wav","m160ball.wav","m150gnash.wav","m150cling.wav","m160cave.wav","m160ball.wav","m160depth.wav","m150park.wav","m150dime.wav","m160cave.wav","m160dime.wav"
18,"Mixed","Both","cave","m160tile.wav","m160jolt.wav","m150done.wav","m150romp.wav","m150jolt.wav","m150dime.wav","m160cave.wav","m150reek.wav","m160bluff.wav","m160knife.wav","m150cave.wav","m150cad.wav","m150cave.wav","m160park.wav","m160cave.wav","m160depth.wav"
19,"Mixed","Both","cave","m150bluff.wav","m150cave.wav","m160done.wav","m160done.wav","m150cad.wav","m160cave.wav","m150done.wav","m150gnash.wav","m160depth.wav","m160greet.wav","m160jaw.wav","m150cave.wav","m150knife.wav","m160cave.wav","m150reek.wav","m160knife.wav"
20,"Mixed","Both","cave","m160bluff.wav","m160cling.wav","m150jaw.wav","m150priest.wav","m150cave.wav","m160done.wav","m160tile.wav","m160depth.wav","m160cad.wav","m160cave.wav","m150knife.wav","m150cave.wav","m150depth.wav","m150reek.wav","m160cave.wav","m150priest.wav"
21,"Mixed","Both","cave","m150jaw.wav","m160bluff.wav","m150bluff.wav","m150cave.wav","m150gnash.wav","m160romp.wav","m150ball.wav","m150cave.wav","m160lash.wav","m160cave.wav","m160reek.wav","m160cave.wav","m160cad.wav","m150park.wav","m150bluff.wav","m160ball.wav"
22,"Mixed","Both","cave","m160romp.wav","m160done.wav","m160cling.wav","m150ball.wav","m160park.wav","m150done.wav","m150cave.wav","m150bluff.wav","m150cave.wav","m160cad.wav","m160cave.wav","m150done.wav","m160ball.wav","m150romp.wav","m160cave.wav","m150jolt.wav"
23,"Mixed","Both","cave","m160cling.wav","m150cave.wav","m160dime.wav","m160park.wav","m150done.wav","m150tile.wav","m160bluff.wav","m150priest.wav","m160cave.wav","m160romp.wav","m150park.wav","m150cave.wav","m160tile.wav","m150priest.wav","m160cave.wav","m150reek.wav"
