Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Randomise questionnaire elements?,Question Key,Response
1,1606000724985,21/11/2020 23:18:44,1606000726626,-5,21/11/2020 18:18:46,24435,14,questionnaire-d7os,,8022485,115681,2383455,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1280x800,1280x658,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,BEGIN QUESTIONNAIRE,
2,1606000737096,21/11/2020 23:18:57,1606000738769,-5,21/11/2020 18:18:58,24435,14,questionnaire-d7os,,8022485,115681,2383455,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1280x800,1263x658,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,response-accent-7,Do not know
3,1606000737236,21/11/2020 23:18:57,1606000738772,-5,21/11/2020 18:18:58,24435,14,questionnaire-d7os,,8022485,115681,2383455,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1280x800,1263x658,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,response-accent-text,
4,1606000737236,21/11/2020 23:18:57,1606000738772,-5,21/11/2020 18:18:58,24435,14,questionnaire-d7os,,8022485,115681,2383455,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1280x800,1263x658,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,response-sex-1,Female
5,1606000737236,21/11/2020 23:18:57,1606000738773,-5,21/11/2020 18:18:58,24435,14,questionnaire-d7os,,8022485,115681,2383455,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1280x800,1263x658,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,response-ethnicity-2,Not Hispanic or Latino
6,1606000737236,21/11/2020 23:18:57,1606000738773,-5,21/11/2020 18:18:58,24435,14,questionnaire-d7os,,8022485,115681,2383455,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1280x800,1263x658,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,response-race-5,White
7,1606000737236,21/11/2020 23:18:57,1606000738773,-5,21/11/2020 18:18:58,24435,14,questionnaire-d7os,,8022485,115681,2383455,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1280x800,1263x658,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,END QUESTIONNAIRE,12147
1,1606101022290,23/11/2020 03:10:22,1606101022169,-5,22/11/2020 22:10:22,24435,14,questionnaire-d7os,,8039464,114094,2388908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.67,1440x900,1282x712,Pass,Demographics,1,Yes,Fail,Pass,Pass,,One Talker,B,,No,BEGIN QUESTIONNAIRE,
2,1606101041047,23/11/2020 03:10:41,1606101040971,-5,22/11/2020 22:10:40,24435,14,questionnaire-d7os,,8039464,114094,2388908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.67,1440x900,1282x712,Pass,Demographics,1,Yes,Fail,Pass,Pass,,One Talker,B,,No,response-accent-1,New England
3,1606101041250,23/11/2020 03:10:41,1606101040972,-5,22/11/2020 22:10:40,24435,14,questionnaire-d7os,,8039464,114094,2388908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.67,1440x900,1282x712,Pass,Demographics,1,Yes,Fail,Pass,Pass,,One Talker,B,,No,response-accent-text,
