Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Randomise questionnaire elements?,Question Key,Response
1,1606601590274,28/11/2020 22:13:10,1606601590171,-5,28/11/2020 17:13:10,24435,15,questionnaire-t1fh,,8195801,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,Two Talker,,B,No,BEGIN QUESTIONNAIRE,
2,1606601599954,28/11/2020 22:13:19,1606601599878,-5,28/11/2020 17:13:19,24435,15,questionnaire-t1fh,,8195801,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,Two Talker,,B,No,consent,Yes
3,1606601600079,28/11/2020 22:13:20,1606601599881,-5,28/11/2020 17:13:19,24435,15,questionnaire-t1fh,,8195801,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,Two Talker,,B,No,consent-quantised,1
4,1606601600079,28/11/2020 22:13:20,1606601599881,-5,28/11/2020 17:13:19,24435,15,questionnaire-t1fh,,8195801,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,Two Talker,,B,No,END QUESTIONNAIRE,9710
1,1606611364151,29/11/2020 00:56:04,1606611364029,-5,28/11/2020 19:56:04,24435,15,questionnaire-t1fh,,8196857,116044,2442978,,complete,,,mobile,Apple iPhone,iOS 14.2,Mobile Safari 14.0.1,414x896,414x721,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,One Talker,C,,No,BEGIN QUESTIONNAIRE,
2,1606611368624,29/11/2020 00:56:08,1606611368547,-5,28/11/2020 19:56:08,24435,15,questionnaire-t1fh,,8196857,116044,2442978,,complete,,,mobile,Apple iPhone,iOS 14.2,Mobile Safari 14.0.1,414x896,414x721,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,One Talker,C,,No,consent,Yes
3,1606611368795,29/11/2020 00:56:08,1606611368551,-5,28/11/2020 19:56:08,24435,15,questionnaire-t1fh,,8196857,116044,2442978,,complete,,,mobile,Apple iPhone,iOS 14.2,Mobile Safari 14.0.1,414x896,414x721,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,One Talker,C,,No,consent-quantised,1
4,1606611368795,29/11/2020 00:56:08,1606611368551,-5,28/11/2020 19:56:08,24435,15,questionnaire-t1fh,,8196857,116044,2442978,,complete,,,mobile,Apple iPhone,iOS 14.2,Mobile Safari 14.0.1,414x896,414x721,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,One Talker,C,,No,END QUESTIONNAIRE,4523
1,1606612723469,29/11/2020 01:18:43,1606612723279,-5,28/11/2020 20:18:43,24435,15,questionnaire-t1fh,,8196942,116995,2443021,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1440x820,Pass,Information-Sheet,2,Yes,Pass,Pass,,,Two Talker,,B,No,BEGIN QUESTIONNAIRE,
2,1606612837149,29/11/2020 01:20:37,1606612837046,-5,28/11/2020 20:20:37,24435,15,questionnaire-t1fh,,8196942,116995,2443021,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1425x820,Pass,Information-Sheet,2,Yes,Pass,Pass,,,Two Talker,,B,No,consent,Yes
3,1606612837305,29/11/2020 01:20:37,1606612837048,-5,28/11/2020 20:20:37,24435,15,questionnaire-t1fh,,8196942,116995,2443021,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1425x820,Pass,Information-Sheet,2,Yes,Pass,Pass,,,Two Talker,,B,No,consent-quantised,1
4,1606612837305,29/11/2020 01:20:37,1606612837048,-5,28/11/2020 20:20:37,24435,15,questionnaire-t1fh,,8196942,116995,2443021,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Safari 14.0.1,1440x900,1425x820,Pass,Information-Sheet,2,Yes,Pass,Pass,,,Two Talker,,B,No,END QUESTIONNAIRE,113769
END OF FILE
