Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Randomise questionnaire elements?,Question Key,Response
1,1605296775077,13/11/2020 19:46:15,1605296774509,-5,13/11/2020 14:46:14,24435,13,questionnaire-d7os,,7777866,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Demographics,1,Yes,Pass,Pass,,,Two Talker,,C,No,BEGIN QUESTIONNAIRE,
2,1605296799242,13/11/2020 19:46:39,1605296798715,-5,13/11/2020 14:46:38,24435,13,questionnaire-d7os,,7777866,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Demographics,1,Yes,Pass,Pass,,,Two Talker,,C,No,response-accent-2,Southern
3,1605296799351,13/11/2020 19:46:39,1605296798716,-5,13/11/2020 14:46:38,24435,13,questionnaire-d7os,,7777866,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Demographics,1,Yes,Pass,Pass,,,Two Talker,,C,No,response-accent-text,
4,1605296799351,13/11/2020 19:46:39,1605296798716,-5,13/11/2020 14:46:38,24435,13,questionnaire-d7os,,7777866,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Demographics,1,Yes,Pass,Pass,,,Two Talker,,C,No,response-sex-1,Female
5,1605296799351,13/11/2020 19:46:39,1605296798716,-5,13/11/2020 14:46:38,24435,13,questionnaire-d7os,,7777866,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Demographics,1,Yes,Pass,Pass,,,Two Talker,,C,No,response-ethnicity-2,Not Hispanic or Latino
6,1605296799351,13/11/2020 19:46:39,1605296798716,-5,13/11/2020 14:46:38,24435,13,questionnaire-d7os,,7777866,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Demographics,1,Yes,Pass,Pass,,,Two Talker,,C,No,response-race-5,White
7,1605296799351,13/11/2020 19:46:39,1605296798717,-5,13/11/2020 14:46:38,24435,13,questionnaire-d7os,,7777866,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Demographics,1,Yes,Pass,Pass,,,Two Talker,,C,No,END QUESTIONNAIRE,24208
1,1605311294650,13/11/2020 23:48:14,1605311294845,-5,13/11/2020 18:48:14,24435,13,questionnaire-d7os,,7782310,114280,2312280,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1536x754,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,C,,No,BEGIN QUESTIONNAIRE,
2,1605311309871,13/11/2020 23:48:29,1605311310108,-5,13/11/2020 18:48:30,24435,13,questionnaire-d7os,,7782310,114280,2312280,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1519x754,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,C,,No,response-accent-1,New England
3,1605311309996,13/11/2020 23:48:29,1605311310109,-5,13/11/2020 18:48:30,24435,13,questionnaire-d7os,,7782310,114280,2312280,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1519x754,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,C,,No,response-accent-text,
4,1605311309996,13/11/2020 23:48:29,1605311310110,-5,13/11/2020 18:48:30,24435,13,questionnaire-d7os,,7782310,114280,2312280,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1519x754,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,C,,No,response-sex-2,Male
5,1605311309996,13/11/2020 23:48:29,1605311310110,-5,13/11/2020 18:48:30,24435,13,questionnaire-d7os,,7782310,114280,2312280,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1519x754,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,C,,No,response-ethnicity-2,Not Hispanic or Latino
6,1605311309996,13/11/2020 23:48:29,1605311310110,-5,13/11/2020 18:48:30,24435,13,questionnaire-d7os,,7782310,114280,2312280,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1519x754,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,C,,No,response-race-5,White
7,1605311309996,13/11/2020 23:48:29,1605311310110,-5,13/11/2020 18:48:30,24435,13,questionnaire-d7os,,7782310,114280,2312280,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 86.0.4240.198,1536x864,1519x754,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,C,,No,END QUESTIONNAIRE,15265
1,1605818582606,19/11/2020 20:43:02,1605818582500,-5,19/11/2020 15:43:02,24435,13,questionnaire-d7os,,7958993,122353,2367405,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 86.0.4240.198,1440x900,1440x744,Pass,Demographics,1,Yes,Fail,Pass,Pass,,Two Talker,,B,No,BEGIN QUESTIONNAIRE,
2,1605818596823,19/11/2020 20:43:16,1605818596767,-5,19/11/2020 15:43:16,24435,13,questionnaire-d7os,,7958993,122353,2367405,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 86.0.4240.198,1440x900,1440x744,Pass,Demographics,1,Yes,Fail,Pass,Pass,,Two Talker,,B,No,response-accent-1,New England
3,1605818596948,19/11/2020 20:43:16,1605818596769,-5,19/11/2020 15:43:16,24435,13,questionnaire-d7os,,7958993,122353,2367405,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 86.0.4240.198,1440x900,1440x744,Pass,Demographics,1,Yes,Fail,Pass,Pass,,Two Talker,,B,No,response-accent-text,
4,1605818596948,19/11/2020 20:43:16,1605818596769,-5,19/11/2020 15:43:16,24435,13,questionnaire-d7os,,7958993,122353,2367405,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 86.0.4240.198,1440x900,1440x744,Pass,Demographics,1,Yes,Fail,Pass,Pass,,Two Talker,,B,No,response-sex-1,Female
5,1605818596948,19/11/2020 20:43:16,1605818596770,-5,19/11/2020 15:43:16,24435,13,questionnaire-d7os,,7958993,122353,2367405,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 86.0.4240.198,1440x900,1440x744,Pass,Demographics,1,Yes,Fail,Pass,Pass,,Two Talker,,B,No,response-ethnicity-2,Not Hispanic or Latino
6,1605818596948,19/11/2020 20:43:16,1605818596770,-5,19/11/2020 15:43:16,24435,13,questionnaire-d7os,,7958993,122353,2367405,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 86.0.4240.198,1440x900,1440x744,Pass,Demographics,1,Yes,Fail,Pass,Pass,,Two Talker,,B,No,response-race-5,White
7,1605818596948,19/11/2020 20:43:16,1605818596770,-5,19/11/2020 15:43:16,24435,13,questionnaire-d7os,,7958993,122353,2367405,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.4,Chrome 86.0.4240.198,1440x900,1440x744,Pass,Demographics,1,Yes,Fail,Pass,Pass,,Two Talker,,B,No,END QUESTIONNAIRE,14271
1,1605908885552,20/11/2020 21:48:05,1605908885222,-5,20/11/2020 16:48:05,24435,13,questionnaire-d7os,,8006102,113686,2378806,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1280x720,1280x609,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,BEGIN QUESTIONNAIRE,
2,1605908900519,20/11/2020 21:48:20,1605908900238,-5,20/11/2020 16:48:20,24435,13,questionnaire-d7os,,8006102,113686,2378806,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1280x720,1263x609,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,response-accent-1,New England
3,1605908900660,20/11/2020 21:48:20,1605908900239,-5,20/11/2020 16:48:20,24435,13,questionnaire-d7os,,8006102,113686,2378806,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1280x720,1263x609,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,response-accent-text,
4,1605908900660,20/11/2020 21:48:20,1605908900239,-5,20/11/2020 16:48:20,24435,13,questionnaire-d7os,,8006102,113686,2378806,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1280x720,1263x609,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,response-sex-2,Male
5,1605908900660,20/11/2020 21:48:20,1605908900239,-5,20/11/2020 16:48:20,24435,13,questionnaire-d7os,,8006102,113686,2378806,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1280x720,1263x609,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,response-ethnicity-1,Hispanic or Latino
6,1605908900660,20/11/2020 21:48:20,1605908900240,-5,20/11/2020 16:48:20,24435,13,questionnaire-d7os,,8006102,113686,2378806,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1280x720,1263x609,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,response-race-6,More than One Race
7,1605908900660,20/11/2020 21:48:20,1605908900240,-5,20/11/2020 16:48:20,24435,13,questionnaire-d7os,,8006102,113686,2378806,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 87.0.4280.66,1280x720,1263x609,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,END QUESTIONNAIRE,15018
1,1605028636428,10/11/2020 17:17:16,1605028636300,-5,10/11/2020 12:17:16,24435,13,questionnaire-d7os,,7699714,120961,2283218,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,B,,No,BEGIN QUESTIONNAIRE,
2,1605028648054,10/11/2020 17:17:28,1605028647908,-5,10/11/2020 12:17:27,24435,13,questionnaire-d7os,,7699714,120961,2283218,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,B,,No,response-accent-1,New England
3,1605028648711,10/11/2020 17:17:28,1605028647910,-5,10/11/2020 12:17:27,24435,13,questionnaire-d7os,,7699714,120961,2283218,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,B,,No,response-accent-text,
4,1605028648711,10/11/2020 17:17:28,1605028647910,-5,10/11/2020 12:17:27,24435,13,questionnaire-d7os,,7699714,120961,2283218,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,B,,No,response-sex-1,Female
5,1605028648711,10/11/2020 17:17:28,1605028647910,-5,10/11/2020 12:17:27,24435,13,questionnaire-d7os,,7699714,120961,2283218,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,B,,No,response-ethnicity-2,Not Hispanic or Latino
6,1605028648711,10/11/2020 17:17:28,1605028647910,-5,10/11/2020 12:17:27,24435,13,questionnaire-d7os,,7699714,120961,2283218,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,B,,No,response-race-5,White
7,1605028648711,10/11/2020 17:17:28,1605028647911,-5,10/11/2020 12:17:27,24435,13,questionnaire-d7os,,7699714,120961,2283218,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 13.1.3,1440x900,1440x837,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,B,,No,END QUESTIONNAIRE,11610
1,1605046288544,10/11/2020 22:11:28,1605046288394,-5,10/11/2020 17:11:28,24435,13,questionnaire-d7os,,7706282,122338,2285234,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1264x764,Pass,Demographics,1,Yes,Fail,Pass,Pass,,One Talker,B,,No,BEGIN QUESTIONNAIRE,
2,1605046315320,10/11/2020 22:11:55,1605046315225,-5,10/11/2020 17:11:55,24435,13,questionnaire-d7os,,7706282,122338,2285234,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1264x764,Pass,Demographics,1,Yes,Fail,Pass,Pass,,One Talker,B,,No,response-accent-1,New England
