Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Randomise questionnaire elements?,Question Key,Response
1,1606682117177,29/11/2020 20:35:17,1606682117019,-5,29/11/2020 15:35:17,24435,16,questionnaire-d7os,,8210863,114466,2447798,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 86.0.4240.111,1440x900,1440x821,Pass,Demographics,1,Yes,Pass,Pass,,,One Talker,C,,No,BEGIN QUESTIONNAIRE,
2,1606682142701,29/11/2020 20:35:42,1606682142608,-5,29/11/2020 15:35:42,24435,16,questionnaire-d7os,,8210863,114466,2447798,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 86.0.4240.111,1440x900,1440x821,Pass,Demographics,1,Yes,Pass,Pass,,,One Talker,C,,No,response-accent-1,New England
3,1606682142826,29/11/2020 20:35:42,1606682142610,-5,29/11/2020 15:35:42,24435,16,questionnaire-d7os,,8210863,114466,2447798,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 86.0.4240.111,1440x900,1440x821,Pass,Demographics,1,Yes,Pass,Pass,,,One Talker,C,,No,response-accent-text,
4,1606682142826,29/11/2020 20:35:42,1606682142610,-5,29/11/2020 15:35:42,24435,16,questionnaire-d7os,,8210863,114466,2447798,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 86.0.4240.111,1440x900,1440x821,Pass,Demographics,1,Yes,Pass,Pass,,,One Talker,C,,No,response-sex-1,Female
5,1606682142826,29/11/2020 20:35:42,1606682142610,-5,29/11/2020 15:35:42,24435,16,questionnaire-d7os,,8210863,114466,2447798,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 86.0.4240.111,1440x900,1440x821,Pass,Demographics,1,Yes,Pass,Pass,,,One Talker,C,,No,response-ethnicity-2,Not Hispanic or Latino
6,1606682142826,29/11/2020 20:35:42,1606682142610,-5,29/11/2020 15:35:42,24435,16,questionnaire-d7os,,8210863,114466,2447798,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 86.0.4240.111,1440x900,1440x821,Pass,Demographics,1,Yes,Pass,Pass,,,One Talker,C,,No,response-race-2,Asian
7,1606682142826,29/11/2020 20:35:42,1606682142610,-5,29/11/2020 15:35:42,24435,16,questionnaire-d7os,,8210863,114466,2447798,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 86.0.4240.111,1440x900,1440x821,Pass,Demographics,1,Yes,Pass,Pass,,,One Talker,C,,No,response-race-5,White
8,1606682142826,29/11/2020 20:35:42,1606682142610,-5,29/11/2020 15:35:42,24435,16,questionnaire-d7os,,8210863,114466,2447798,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.6,Chrome 86.0.4240.111,1440x900,1440x821,Pass,Demographics,1,Yes,Pass,Pass,,,One Talker,C,,No,END QUESTIONNAIRE,25591
1,1606692903655,29/11/2020 23:35:03,1606692907829,-5,29/11/2020 18:35:07,24435,16,questionnaire-d7os,,8212746,113281,2448633,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1536x706,Pass,Demographics,1,Yes,Fail,Pass,Pass,,Two Talker,,B,No,BEGIN QUESTIONNAIRE,
2,1606692918702,29/11/2020 23:35:18,1606692922920,-5,29/11/2020 18:35:22,24435,16,questionnaire-d7os,,8212746,113281,2448633,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 84.0.4147.89,1536x864,1519x706,Pass,Demographics,1,Yes,Fail,Pass,Pass,,Two Talker,,B,No,response-accent-1,New England
