Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Randomise questionnaire elements?,Question Key,Response
1,1606601688987,28/11/2020 22:14:48,1606601688881,-5,28/11/2020 17:14:48,24435,15,questionnaire-d7os,,8195827,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,BEGIN QUESTIONNAIRE,
2,1606601703746,28/11/2020 22:15:03,1606601703704,-5,28/11/2020 17:15:03,24435,15,questionnaire-d7os,,8195827,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,response-accent-1,New England
3,1606601703902,28/11/2020 22:15:03,1606601703706,-5,28/11/2020 17:15:03,24435,15,questionnaire-d7os,,8195827,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,response-accent-text,
4,1606601703902,28/11/2020 22:15:03,1606601703706,-5,28/11/2020 17:15:03,24435,15,questionnaire-d7os,,8195827,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,response-sex-1,Female
5,1606601703902,28/11/2020 22:15:03,1606601703707,-5,28/11/2020 17:15:03,24435,15,questionnaire-d7os,,8195827,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,response-ethnicity-2,Not Hispanic or Latino
6,1606601703902,28/11/2020 22:15:03,1606601703707,-5,28/11/2020 17:15:03,24435,15,questionnaire-d7os,,8195827,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,response-race-5,White
7,1606601703902,28/11/2020 22:15:03,1606601703707,-5,28/11/2020 17:15:03,24435,15,questionnaire-d7os,,8195827,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Demographics,1,Yes,Fail,,Fail,Fail,Two Talker,,B,No,END QUESTIONNAIRE,14826
1,1606611466182,29/11/2020 00:57:46,1606611466055,-5,28/11/2020 19:57:46,24435,15,questionnaire-d7os,,8196862,116044,2442978,,complete,,,mobile,Apple iPhone,iOS 14.2,Mobile Safari 14.0.1,414x896,800x370,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,C,,No,BEGIN QUESTIONNAIRE,
2,1606611483977,29/11/2020 00:58:03,1606611483877,-5,28/11/2020 19:58:03,24435,15,questionnaire-d7os,,8196862,116044,2442978,,complete,,,mobile,Apple iPhone,iOS 14.2,Mobile Safari 14.0.1,414x896,414x726,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,C,,No,response-accent-1,New England
3,1606611484117,29/11/2020 00:58:04,1606611483882,-5,28/11/2020 19:58:03,24435,15,questionnaire-d7os,,8196862,116044,2442978,,complete,,,mobile,Apple iPhone,iOS 14.2,Mobile Safari 14.0.1,414x896,414x726,Fail,Demographics,1,Yes,Fail,,Fail,Fail,One Talker,C,,No,response-accent-text,
