Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Randomise questionnaire elements?,Question Key,Response
1,1603394914296,22/10/2020 19:28:34,1603394914171,-4,22/10/2020 15:28:34,24435,10,questionnaire-t1fh,,7398765,121249,2160707,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 85.0.4183.121,1440x900,1440x789,Pass,Information-Sheet,2,Yes,Pass,Pass,,,Two Talker,,A,No,BEGIN QUESTIONNAIRE,
2,1603394986290,22/10/2020 19:29:46,1603394986227,-4,22/10/2020 15:29:46,24435,10,questionnaire-t1fh,,7398765,121249,2160707,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 85.0.4183.121,1440x900,1425x789,Pass,Information-Sheet,2,Yes,Pass,Pass,,,Two Talker,,A,No,consent,Yes
3,1603394986446,22/10/2020 19:29:46,1603394986229,-4,22/10/2020 15:29:46,24435,10,questionnaire-t1fh,,7398765,121249,2160707,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 85.0.4183.121,1440x900,1425x789,Pass,Information-Sheet,2,Yes,Pass,Pass,,,Two Talker,,A,No,consent-quantised,1
4,1603394986446,22/10/2020 19:29:46,1603394986229,-4,22/10/2020 15:29:46,24435,10,questionnaire-t1fh,,7398765,121249,2160707,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 85.0.4183.121,1440x900,1425x789,Pass,Information-Sheet,2,Yes,Pass,Pass,,,Two Talker,,A,No,END QUESTIONNAIRE,72059
1,1603469931753,23/10/2020 16:18:51,1603469931610,-4,23/10/2020 12:18:51,24435,10,questionnaire-t1fh,,7414240,116227,2165470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 86.0.4240.80,1440x900,1042x718,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,One Talker,B,,No,BEGIN QUESTIONNAIRE,
2,1603469937983,23/10/2020 16:18:57,1603469937893,-4,23/10/2020 12:18:57,24435,10,questionnaire-t1fh,,7414240,116227,2165470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 86.0.4240.80,1440x900,1440x821,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,One Talker,B,,No,consent,Yes
3,1603469938160,23/10/2020 16:18:58,1603469937895,-4,23/10/2020 12:18:57,24435,10,questionnaire-t1fh,,7414240,116227,2165470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 86.0.4240.80,1440x900,1440x821,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,One Talker,B,,No,consent-quantised,1
4,1603469938160,23/10/2020 16:18:58,1603469937895,-4,23/10/2020 12:18:57,24435,10,questionnaire-t1fh,,7414240,116227,2165470,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.2,Chrome 86.0.4240.80,1440x900,1440x821,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,One Talker,B,,No,END QUESTIONNAIRE,6285
1,1603471451672,23/10/2020 16:44:11,1603471451572,-4,23/10/2020 12:44:11,24435,10,questionnaire-t1fh,,7414625,113551,2165609,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 73.0.3683.103,1680x1050,1463x869,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,Two Talker,,C,No,BEGIN QUESTIONNAIRE,
2,1603471461834,23/10/2020 16:44:21,1603471461766,-4,23/10/2020 12:44:21,24435,10,questionnaire-t1fh,,7414625,113551,2165609,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 73.0.3683.103,1680x1050,1463x869,Fail,Information-Sheet,2,Yes,Fail,,Fail,Fail,Two Talker,,C,No,consent,Yes
