Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,correct_response,fname,ANSWER,condition,talker
1,1606101044442,23/11/2020 03:10:44,1606101044312,-5,22/11/2020 22:10:44,24435,14,task-oi4b,,8039466,114094,2388908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.67,1440x900,1282x712,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,One Talker,B,,monologueB,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1606101057531,23/11/2020 03:10:57,1606101057230,-5,22/11/2020 22:10:57,24435,14,task-oi4b,,8039466,114094,2388908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.67,1440x900,1282x712,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,One Talker,B,,monologueB,monologueB,1,1,1,Expectations,advancementZone,continue_keyboard,12141.480000005686,,,,,0,1,0,,,,,,Instructions (One Talker),,,m150m160_monologue.mp3,,,
3,1606101057656,23/11/2020 03:10:57,1606101057236,-5,22/11/2020 22:10:57,24435,14,task-oi4b,,8039466,114094,2388908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.67,1440x900,1282x712,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,One Talker,B,,monologueB,monologueB,1,1,2,Monologue,Audio,content_web_audio,0.5300000048009679,,,AUDIO STARTED,,0,1,0,,,,,,Instructions (One Talker),,,m150m160_monologue.mp3,,,
4,1606101094714,23/11/2020 03:11:34,1606101094634,-5,22/11/2020 22:11:34,24435,14,task-oi4b,,8039466,114094,2388908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.67,1440x900,1282x712,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,One Talker,B,,monologueB,monologueB,1,1,2,Monologue,Audio,content_web_audio,37387.02500000363,,,,,0,1,0,,,,,,Instructions (One Talker),,,m150m160_monologue.mp3,,,
5,1606101116041,23/11/2020 03:11:56,1606101115988,-5,22/11/2020 22:11:55,24435,14,task-oi4b,,8039466,114094,2388908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.67,1440x900,1282x712,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,One Talker,B,,monologueB,monologueB,1,1,3,Instructions,advancementZone,continue_keyboard,21345.885000002454,,,,,0,1,0,,,,,,Instructions (One Talker),,,m150m160_monologue.mp3,,,
6,1606101116166,23/11/2020 03:11:56,1606101116011,-5,22/11/2020 22:11:56,24435,14,task-oi4b,,8039466,114094,2388908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.67,1440x900,1282x712,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,One Talker,B,,monologueB,monologueB,2,1,1,Trial,Zone5,content_web_audio,10.464999999385327,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,f,m160_buy.mp3,,blocked,m160
7,1606101118104,23/11/2020 03:11:58,1606101117975,-5,22/11/2020 22:11:57,24435,14,task-oi4b,,8039466,114094,2388908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.67,1440x900,1282x712,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,One Talker,B,,monologueB,monologueB,2,1,1,Trial,Zone1,timelimit_screen,2000.0859999999957,,,,,0,1,0,,,1,,,Trial,1,f,m160_buy.mp3,,blocked,m160
8,1606101118230,23/11/2020 03:11:58,1606101117989,-5,22/11/2020 22:11:57,24435,14,task-oi4b,,8039466,114094,2388908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.67,1440x900,1282x712,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,One Talker,B,,monologueB,monologueB,3,2,1,Trial,Zone5,content_web_audio,1.025000005029142,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,j,m160_pie.mp3,,blocked,m160
9,1606101118620,23/11/2020 03:11:58,1606101118560,-5,22/11/2020 22:11:58,24435,14,task-oi4b,,8039466,114094,2388908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.67,1440x900,1282x712,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,One Talker,B,,monologueB,monologueB,3,2,1,Trial,Zone3,response_keyboard_single,571.5900000068359,,,f,1,0,1,0,,,,,,Trial,1,j,m160_pie.mp3,,blocked,m160
10,1606101119339,23/11/2020 03:11:59,1606101119283,-5,22/11/2020 22:11:59,24435,14,task-oi4b,,8039466,114094,2388908,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 87.0.4280.67,1440x900,1282x712,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,One Talker,B,,monologueB,monologueB,3,2,1,Trial,Zone4,response_keyboard_single,1294.6550000051502,,,j,2,0,1,0,,,,,,Trial,1,j,m160_pie.mp3,,blocked,m160
