Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,correct_response,fname,ANSWER,condition,talker
1,1606601707128,28/11/2020 22:15:07,1606601707013,-5,28/11/2020 17:15:07,24435,15,task-vk34,,8195834,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,B,dialogueB,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1606601713701,28/11/2020 22:15:13,1606601713642,-5,28/11/2020 17:15:13,24435,15,task-vk34,,8195834,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,B,dialogueB,dialogueB,1,1,1,Expectations,advancementZone,continue_keyboard,5204.890000022715,,,,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
3,1606601713826,28/11/2020 22:15:13,1606601713649,-5,28/11/2020 17:15:13,24435,15,task-vk34,,8195834,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,B,dialogueB,dialogueB,1,1,2,Dialogue,Audio,content_web_audio,0.8950000046752393,,,AUDIO STARTED,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
4,1606601753994,28/11/2020 22:15:53,1606601753949,-5,28/11/2020 17:15:53,24435,15,task-vk34,,8195834,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,B,dialogueB,dialogueB,1,1,2,Dialogue,Audio,content_web_audio,40286.33999999147,,,,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
5,1606601774831,28/11/2020 22:16:14,1606601774765,-5,28/11/2020 17:16:14,24435,15,task-vk34,,8195834,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,B,dialogueB,dialogueB,1,1,3,Instructions,advancementZone,continue_keyboard,20806.63999999524,,,,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
6,1606601775034,28/11/2020 22:16:15,1606601774800,-5,28/11/2020 17:16:14,24435,15,task-vk34,,8195834,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,B,dialogueB,dialogueB,2,1,1,Trial,Zone5,content_web_audio,15.499999979510903,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,f,m160_buy.mp3,,blocked,m160
7,1606601776144,28/11/2020 22:16:16,1606601776106,-5,28/11/2020 17:16:16,24435,15,task-vk34,,8195834,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,B,dialogueB,dialogueB,2,1,1,Trial,Zone4,response_keyboard_single,1321.6599999868777,,,j,1,0,1,0,,,,,,Trial,1,f,m160_buy.mp3,,blocked,m160
8,1606601776801,28/11/2020 22:16:16,1606601776756,-5,28/11/2020 17:16:16,24435,15,task-vk34,,8195834,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,B,dialogueB,dialogueB,2,1,1,Trial,Zone1,timelimit_screen,1997.6169999999984,,,,,0,1,0,,,1,,,Trial,1,f,m160_buy.mp3,,blocked,m160
9,1606601776926,28/11/2020 22:16:16,1606601776774,-5,28/11/2020 17:16:16,24435,15,task-vk34,,8195834,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,B,dialogueB,dialogueB,3,2,1,Trial,Zone5,content_web_audio,1.0400000028312206,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,j,m160_pie.mp3,,blocked,m160
10,1606601777582,28/11/2020 22:16:17,1606601777547,-5,28/11/2020 17:16:17,24435,15,task-vk34,,8195834,113284,2442621,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.198,1440x900,1440x789,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,B,dialogueB,dialogueB,3,2,1,Trial,Zone4,response_keyboard_single,773.5300000058487,,,j,1,1,0,0,,,,,,Trial,1,j,m160_pie.mp3,,blocked,m160
