Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,correct_response,fname,ANSWER,condition,talker
1,1603130102650,19/10/2020 17:55:02,1603130102403,-4,19/10/2020 13:55:02,24435,9,task-bq9p,,7320061,117052,2135979,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1402x754,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,D,dialogueD,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1603130109865,19/10/2020 17:55:09,1603130109794,-4,19/10/2020 13:55:09,24435,9,task-bq9p,,7320061,117052,2135979,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1402x754,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,D,dialogueD,dialogueD,1,1,1,Expectations,advancementZone,continue_keyboard,5998.000000000001,,,,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
3,1603130109991,19/10/2020 17:55:09,1603130109800,-4,19/10/2020 13:55:09,24435,9,task-bq9p,,7320061,117052,2135979,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1402x754,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,D,dialogueD,dialogueD,1,1,2,Dialogue,Audio,content_web_audio,1,,,AUDIO STARTED,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
4,1603130150108,19/10/2020 17:55:50,1603130150034,-4,19/10/2020 13:55:50,24435,9,task-bq9p,,7320061,117052,2135979,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1402x754,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,D,dialogueD,dialogueD,1,1,2,Dialogue,Audio,content_web_audio,40234,,,,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
5,1603130179011,19/10/2020 17:56:19,1603130178935,-4,19/10/2020 13:56:18,24435,9,task-bq9p,,7320061,117052,2135979,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1402x754,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,D,dialogueD,dialogueD,1,1,3,Instructions,advancementZone,continue_keyboard,28894.000000000015,,,,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
6,1603130179120,19/10/2020 17:56:19,1603130178946,-4,19/10/2020 13:56:18,24435,9,task-bq9p,,7320061,117052,2135979,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1402x754,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,D,dialogueD,dialogueD,2,1,1,Trial,Zone5,content_web_audio,1,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,f,m160_buy.mp3,,mixed,m160
7,1603130180996,19/10/2020 17:56:20,1603130180927,-4,19/10/2020 13:56:20,24435,9,task-bq9p,,7320061,117052,2135979,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1402x754,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,D,dialogueD,dialogueD,2,1,1,Trial,Zone1,timelimit_screen,2004,,,,,0,1,0,,,1,,,Trial,1,f,m160_buy.mp3,,mixed,m160
8,1603130181104,19/10/2020 17:56:21,1603130180937,-4,19/10/2020 13:56:20,24435,9,task-bq9p,,7320061,117052,2135979,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1402x754,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,D,dialogueD,dialogueD,3,2,1,Trial,Zone5,content_web_audio,1,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,f,m150_buy.mp3,,mixed,m150
9,1603130181214,19/10/2020 17:56:21,1603130181100,-4,19/10/2020 13:56:21,24435,9,task-bq9p,,7320061,117052,2135979,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1402x754,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,D,dialogueD,dialogueD,3,2,1,Trial,Zone4,response_keyboard_single,164,,,j,1,0,1,0,,,,,,Trial,1,f,m150_buy.mp3,,mixed,m150
10,1603130182996,19/10/2020 17:56:22,1603130182924,-4,19/10/2020 13:56:22,24435,9,task-bq9p,,7320061,117052,2135979,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Safari 14.0,1440x900,1402x754,Fail,Talker Expectations - Speeded Classification,9,Yes,Fail,,Fail,Fail,Two Talker,,D,dialogueD,dialogueD,3,2,1,Trial,Zone1,timelimit_screen,2000,,,,,0,1,0,,,1,,,Trial,1,f,m150_buy.mp3,,mixed,m150
