Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,correct_response,fname,ANSWER,condition,talker
1,1603761934686,27/10/2020 01:25:34,1603761934489,-4,26/10/2020 21:25:34,24435,11,task-1kue,,7459701,114850,2179379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.80,1440x900,1402x741,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,Two Talker,,A,dialogueA,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1603761945256,27/10/2020 01:25:45,1603761945150,-4,26/10/2020 21:25:45,24435,11,task-1kue,,7459701,114850,2179379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.80,1440x900,1402x741,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,Two Talker,,A,dialogueA,dialogueA,1,1,1,Expectations,advancementZone,continue_keyboard,8432.81999998726,,,,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
3,1603761945385,27/10/2020 01:25:45,1603761945155,-4,26/10/2020 21:25:45,24435,11,task-1kue,,7459701,114850,2179379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.80,1440x900,1402x741,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,Two Talker,,A,dialogueA,dialogueA,1,1,2,Dialogue,Audio,content_web_audio,0.5400000081863254,,,AUDIO STARTED,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
4,1603761985516,27/10/2020 01:26:25,1603761985451,-4,26/10/2020 21:26:25,24435,11,task-1kue,,7459701,114850,2179379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.80,1440x900,1402x741,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,Two Talker,,A,dialogueA,dialogueA,1,1,2,Dialogue,Audio,content_web_audio,40285.15000001062,,,,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
5,1603762009237,27/10/2020 01:26:49,1603762009166,-4,26/10/2020 21:26:49,24435,11,task-1kue,,7459701,114850,2179379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.80,1440x900,1402x741,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,Two Talker,,A,dialogueA,dialogueA,1,1,3,Instructions,advancementZone,continue_keyboard,23709.169999987353,,,,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
6,1603762009361,27/10/2020 01:26:49,1603762009191,-4,26/10/2020 21:26:49,24435,11,task-1kue,,7459701,114850,2179379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.80,1440x900,1402x741,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,Two Talker,,A,dialogueA,dialogueA,2,1,1,Trial,Zone5,content_web_audio,12.445000000298023,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,f,m150_buy.mp3,,blocked,m150
7,1603762011218,27/10/2020 01:26:51,1603762011153,-4,26/10/2020 21:26:51,24435,11,task-1kue,,7459701,114850,2179379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.80,1440x900,1402x741,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,Two Talker,,A,dialogueA,dialogueA,2,1,1,Trial,Zone1,timelimit_screen,1994.1520000000019,,,,,0,1,0,,,1,,,Trial,1,f,m150_buy.mp3,,blocked,m150
8,1603762011343,27/10/2020 01:26:51,1603762011166,-4,26/10/2020 21:26:51,24435,11,task-1kue,,7459701,114850,2179379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.80,1440x900,1402x741,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,Two Talker,,A,dialogueA,dialogueA,3,2,1,Trial,Zone5,content_web_audio,0.830000004498288,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,j,m150_pie.mp3,,blocked,m150
9,1603762012610,27/10/2020 01:26:52,1603762012550,-4,26/10/2020 21:26:52,24435,11,task-1kue,,7459701,114850,2179379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.80,1440x900,1402x741,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,Two Talker,,A,dialogueA,dialogueA,3,2,1,Trial,Zone4,response_keyboard_single,1385.1549999963026,,,j,1,1,0,0,,,,,,Trial,1,j,m150_pie.mp3,,blocked,m150
10,1603762013219,27/10/2020 01:26:53,1603762013152,-4,26/10/2020 21:26:53,24435,11,task-1kue,,7459701,114850,2179379,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 86.0.4240.80,1440x900,1402x741,Pass,Talker Expectations - Speeded Classification,9,Yes,Fail,Pass,Pass,,Two Talker,,A,dialogueA,dialogueA,3,2,1,Trial,Zone1,timelimit_screen,1999.9199999999983,,,,,0,1,0,,,1,,,Trial,1,j,m150_pie.mp3,,blocked,m150
