Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-9edj,branch-ee59,checkpoint-7g4v,branch-52fz,checkpoint-irp3,randomiser-czzd,randomiser-z5db,randomiser-bvds,Spreadsheet,Spreadsheet Name,Spreadsheet Row,Trial Number,Screen Number,Screen Name,Zone Name,Zone Type,Reaction Time,Reaction Onset,Response Type,Response,Attempt,Correct,Incorrect,Dishonest,X Coordinate,Y Coordinate,Timed Out,randomise_blocks,randomise_trials,display,ShowProgressBar,correct_response,fname,ANSWER,condition,talker
1,1605296801588,13/11/2020 19:46:41,1605296800982,-5,13/11/2020 14:46:40,24435,13,task-5l7d,,7777881,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,Two Talker,,C,dialogueC,,,BEGIN TASK,,,,,,,,,,0,1,0,,,,,,,,,,,,
2,1605296820136,13/11/2020 19:47:00,1605296819600,-5,13/11/2020 14:46:59,24435,13,task-5l7d,,7777881,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,Two Talker,,C,dialogueC,dialogueC,1,1,1,Expectations,advancementZone,continue_keyboard,17270.344999968074,,,,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
3,1605296820261,13/11/2020 19:47:00,1605296819604,-5,13/11/2020 14:46:59,24435,13,task-5l7d,,7777881,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,Two Talker,,C,dialogueC,dialogueC,1,1,2,Dialogue,Audio,content_web_audio,0.539999979082495,,,AUDIO STARTED,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
4,1605296860454,13/11/2020 19:47:40,1605296859899,-5,13/11/2020 14:47:39,24435,13,task-5l7d,,7777881,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,Two Talker,,C,dialogueC,dialogueC,1,1,2,Dialogue,Audio,content_web_audio,40285.88499996113,,,,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
5,1605296917113,13/11/2020 19:48:37,1605296916588,-5,13/11/2020 14:48:36,24435,13,task-5l7d,,7777881,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,Two Talker,,C,dialogueC,dialogueC,1,1,3,Instructions,advancementZone,continue_keyboard,56681.299999996554,,,,,0,1,0,,,,,,Instructions (Two Talkers),,,m150m160_dialogue.mp3,,,
6,1605296917222,13/11/2020 19:48:37,1605296916613,-5,13/11/2020 14:48:36,24435,13,task-5l7d,,7777881,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,Two Talker,,C,dialogueC,dialogueC,2,1,1,Trial,Zone5,content_web_audio,12.259999988600612,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,f,m160_buy.mp3,,mixed,m160
7,1605296919051,13/11/2020 19:48:39,1605296918523,-5,13/11/2020 14:48:38,24435,13,task-5l7d,,7777881,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,Two Talker,,C,dialogueC,dialogueC,2,1,1,Trial,Zone3,response_keyboard_single,1921.3949999539182,,,f,1,1,0,0,,,,,,Trial,1,f,m160_buy.mp3,,mixed,m160
8,1605296919160,13/11/2020 19:48:39,1605296918591,-5,13/11/2020 14:48:38,24435,13,task-5l7d,,7777881,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,Two Talker,,C,dialogueC,dialogueC,2,1,1,Trial,Zone1,timelimit_screen,2005.3300000000017,,,,,0,1,0,,,1,,,Trial,1,f,m160_buy.mp3,,mixed,m160
9,1605296919160,13/11/2020 19:48:39,1605296918604,-5,13/11/2020 14:48:38,24435,13,task-5l7d,,7777881,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,Two Talker,,C,dialogueC,dialogueC,3,2,1,Trial,Zone5,content_web_audio,1.2749999877996743,,,AUDIO STARTED,,0,1,0,,,,,,Trial,1,f,m150_buy.mp3,,mixed,m150
10,1605296921166,13/11/2020 19:48:41,1605296920590,-5,13/11/2020 14:48:40,24435,13,task-5l7d,,7777881,115648,2311031,,complete,,,computer,Desktop or Laptop,Mac OS 10.14.6,Chrome 86.0.4240.80,1440x900,1440x711,Pass,Talker Expectations - Speeded Classification,9,Yes,Pass,Pass,,,Two Talker,,C,dialogueC,dialogueC,3,2,1,Trial,Zone1,timelimit_screen,1999.9199999999983,,,,,0,1,0,,,1,,,Trial,1,f,m150_buy.mp3,,mixed,m150
